source	strongs	gloss	esv_da	niv_da	nlt_da	decision	status	scope
παροξυσμός	G3948	stirring up, provocation	ansporing	ansporing	skubbe til hinanden	—	settled	standard
ἀνομία	G458	lawlessness, transgression	lovbrud	lovbrud	det onde, de har gjort	—	settled	standard
ἐκδίκησις	G1557	vengeance	hævn	hævn	hævn	—	settled	standard
μισθαποδοσία	G3405	reward, recompense	løn	rigt lønnet	rigt belønnet	—	settled	standard
θεατρίζω	G2301	make a public spectacle of	stille til skue	stille til skue	håne for alles øjne	—	settled	standard
φωτίζω	G5461	enlighten	oplyse	oplyse	få lyset	—	settled	standard
ὑποστέλλομαι	G5288	shrink back, draw back	vige tilbage	vige tilbage	trække sig tilbage	0104	settled	konkordant@HEB
περιποίησις ψυχῆς	G4047+G5590	preserving of the soul	bevare sin sjæl	bevare sit liv	bevare livet	—	settled	standard
πρόσφατος	G4372	new (rod: »nyslagtet«)	ny	ny	ny	0109	settled	standard
κεφαλὶς βιβλίου	G2777+G975	scroll of the book	bogrullen	bogrullen	bogrullen	0103	settled	standard
ῥαντίζω	G4472	sprinkle	bestænke	bestænke ren	stænke ren	—	settled	standard
ἐγκαινίζω	G1457	inaugurate, open	indvie	åbne	åbne	—	settled	standard
ἀφαιρέω	G851	take away	tage bort	tage bort	fjerne	0101	settled	standard
περιαιρέω	G4014	remove, take away	fjerne	fjerne	fjerne	0101	settled	standard
ἑκουσίως + præsens	G1596	deliberately, and persisted in	blive ved med at synde med vilje	bevidst blive ved med at synde	med vilje blive ved med at synde	0111	settled	standard
κοινός	G2839	common, profane, unclean	uren	noget ganske almindeligt	noget helt almindeligt	—	settled	standard
ἀκλινής	G186	unwavering	urokkelig	urokkelig	uden at vakle	—	settled	standard
μάγοι	G3097	magi, astrologer-priests	vise mænd	vise mænd	stjernekyndige mænd	0122	settled	standard
ἀστήρ	G792	star	stjerne	stjerne	stjerne	—	settled	standard
λίβανος	G3030	frankincense	røgelse	røgelse	røgelse	—	settled	standard
σμύρνα	G4666	myrrh	myrra	myrra	myrra	—	settled	standard
Ναζωραῖος (titel)	G3480	Nazarene (as a title)	nazaræer	nazaræer	nazaræer	0123	settled	standard
προσκυνέω	G4352	worship, do homage	hylde / tilbede	hylde / tilbede	hylde / tilbede	—	settled	standard
ὄναρ	G3677	dream	drøm	drøm	drøm	—	settled	standard
μετοικεσία	G3350	deportation, exile	bortførelse	bortførelse	bortførelse	0120	settled	standard
γένεσις	G1078	origin, birth	tilblivelse / fødsel	tilblivelse / fødsel	tilblivelse / fødsel	0120	settled	standard
βασιλεία τῶν οὐρανῶν	G932+G3772	kingdom of heaven (Matthæus)	Himmeriget	Himmelriget	Himmelriget	0124	settled	konkordant@MAT
βαπτιστής	G910	the Baptist	Døberen	Døberen	Døberen	—	settled	standard
γεννήματα ἐχιδνῶν	G1081+G2191	brood of vipers	øgleunger	øgleunger	slangeunger	—	settled	standard
πτύον	G4425	winnowing fork	kasteskovl	kasteskovl	greb til at kaste kornet med	—	settled	standard
ἅλων	G257	threshing floor	tærskeplads	tærskeplads	tærskeplads	—	settled	standard
ἄχυρον	G892	chaff	avner	avner	avner	—	settled	standard
ἀξίνη	G513	axe	økse	økse	økse	—	settled	standard
ἀποθήκη	G596	storehouse, barn	lade	lade	lade	—	settled	standard
πραΰς	G4239	gentle, meek	sagtmodig	sagtmodig	ydmyg	—	settled	standard
εἰρηνοποιός	G1518	peacemaker	den, som stifter fred	den, der stifter fred	den, der skaber fred	—	settled	standard
Ῥακά	G4469	raka (Aramaic term of abuse)	Raka	Raka	Raka	0096	settled	konkordant
μόδιος	G3426	measure, bushel-vessel	skæppe	skål	skål	0065	settled	standard
μίλιον	G3400	Roman mile (~1480 m)	mil	mil	kilometer (omregnet)	0017	settled	standard
ἀγγαρεύω	G29	requisition, compel to carry	tvinge til at gå	tvinge til at gå	tvinge til at bære	—	settled	standard
τέλειος	G5046	perfect, complete	fuldkommen	fuldkommen	fuldkommen	0101	settled	standard
ἐθνικός	G1482	gentile, pagan	hedning	folk fra andre folkeslag	folk fra andre folkeslag	—	settled	standard
ἀντίδικος	G476	opponent at law	modpart	modpart	modpart	—	settled	standard
ἐκκλησία	G1577	assembly, church	menighed	menighed	menighed	0129	settled	konkordant
κλείς	G2807	key	nøgle	nøgle	nøgle	—	settled	standard
ζύμη (billedligt)	G2219	leaven (figurative)	surdej	surdej	surdej	—	settled	standard
δέω / λύω	G1210+G3089	bind / loose	binde / løse	binde / løse	binde / løse	0129	settled	standard
